Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Cat,Maine Coon,5,Male,8.0,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,39.0°C,135,Feline Panleukopenia Virus
Horse,Arabian,6,Female,650.0,Lameness,Swollen Legs,Appetite Loss,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.5°C,110,Equine Metabolic Syndrome
Cow,Jersey,2,Male,550.0,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.2°C,95,Bovine Mastitis
Cow,Simmental,4,Female,700.0,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,39.4°C,100,Bovine Respiratory Disease
Sheep,Suffolk,3,Male,110.0,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,39.3°C,80,Bluetongue
Goat,Toggenburg,2,Female,70.0,Vomiting,Diarrhea,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,39.4°C,90,Caprine Arthritis Encephalitis
Pig,Tamworth,3,Male,130.0,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.6°C,105,Swine Influenza
Cow,Dexter,2,Male,500.0,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.4°C,95,Bovine Tuberculosis
Sheep,Cheviot,4,Female,120.0,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.4°C,85,Scrapie
Goat,Alpine,3,Male,75.0,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,39.5°C,100,Caprine Viral Arthritis
Pig,Large White,2,Female,120.0,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.6°C,110,Porcine Circovirus Disease
Goat,Nubian,4,Female,80.0,Vomiting,Diarrhea,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.5°C,95,Caprine Respiratory Disease
Pig,Berkshire,5,Male,145.0,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,39.7°C,110,Swine Fever
Sheep,Dorset,5,Male,150.0,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.5°C,90,Scrapie
Sheep,Southdown,6,Male,130.0,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.3°C,80,Foot-and-Mouth Disease
Dog,Golden Retriever,5,Male,35.0,Coughing,Lethargy,Appetite Loss,Fever,4 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.2°C,110,Canine Parvovirus
Dog,Labrador,4,Male,30.0,Vomiting,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.2°C,100,Canine Parvovirus
Cat,Persian,3,Female,5.0,Coughing,Sneezing,Nasal Discharge,Fever,4 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.1°C,110,Feline Calicivirus
Horse,Arabian,5,Male,450.0,Lameness,Appetite Loss,Swollen Legs,Fever,7 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.4°C,110,Equine Infectious Anemia
Horse,Clydesdale,6,Male,700.0,Lameness,Swollen Legs,Appetite Loss,Fever,7 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,39.4°C,125,Equine Herpesvirus
Horse,Tennessee Walking Horse,12,Female,642.6,Swollen Joints,Lameness,Weight Loss,Lethargy,8 days,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,38.7°C,48,Equine Metabolic Syndrome
Rabbit,English Lop,7,Female,4.0,Sneezing,Appetite Loss,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,40.7°C,293,Viral Hemorrhagic Disease
Cow,Red Poll,4,Male,383.4,Diarrhea,Dehydration,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,67,Coccidiosis
Goat,Toggenburg,12,Female,93.3,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,40.3°C,103,Caprine Arthritis Encephalitis Virus
Cat,Abyssinian,8,Male,8.7,Vomiting,Diarrhea,Appetite Loss,Lethargy,4 days,Yes,Yes,Yes,No,Yes,Yes,No,No,No,39.6°C,205,Feline Infectious Peritonitis
Pig,Duroc,2,Male,209.5,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,41.1°C,110,Swine Fever
Cat,Bengal,8,Male,3.2,Lethargy,Appetite Loss,Skin Lesions,No,2 weeks,Yes,No,No,No,No,No,Yes,No,No,38.2°C,210,Fungal Infection
Horse,Shetland Pony,10,Male,587.6,Lameness,Swollen Legs,Appetite Loss,Fever,8 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.3°C,55,Equine Encephalitis
Dog,Bulldog,15,Female,15.7,Vomiting,Lethargy,Appetite Loss,Fever,4 days,Yes,Yes,No,No,Yes,No,No,Yes,No,40.5°C,167,Canine Leptospirosis
Rabbit,English Angora,6,Female,4.4,Lethargy,Appetite Loss,Weight Loss,Diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,38.7°C,136,Gastrointestinal Stasis
Goat,LaMancha,11,Female,85.0,Vomiting,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,40.5°C,87,Pneumonia
Rabbit,Dutch,3,Female,1.4,Sneezing,Nasal Discharge,Appetite Loss,Fever,3 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,41.6°C,257,Rabbit Viral Hemorrhagic Disease
Rabbit,Mini Rex,5,Female,1.6,Sneezing,Nasal Discharge,Appetite Loss,Fever,3 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,41.3°C,287,Rabbit Viral Hemorrhagic Disease
Dog,Labrador Retriever,9,Male,15.9,Coughing,Labored Breathing,Appetite Loss,Lethargy,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,38.8°C,107,Canine Flu
Sheep,Cheviot,5,Male,131.4,Swollen Joints,Coughing,Appetite Loss,Lethargy,6 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,38.8°C,80,Bluetongue Virus
Cat,Persian,7,Male,7.8,Coughing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,41.3°C,211,Feline Respiratory Disease Complex
Pig,Large White,3,Female,62.5,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,40.9°C,92,Actinobacillus Pleuropneumonia
Cat,Russian Blue,17,Female,2.5,Nasal Discharge,Coughing,Sneezing,Lethargy,4 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,38.1°C,184,Feline Calicivirus
Pig,Hampshire,8,Male,189.1,Vomiting,Diarrhea,Appetite Loss,Fever,5 days,No,Yes,No,Yes,Yes,No,No,Yes,Yes,41.3°C,91,Porcine Epidemic Diarrhea
Cow,Guernsey,12,Male,448.5,Fever,Nasal Discharge,Lethargy,Coughing,4 days,Yes,No,No,Yes,No,Yes,No,No,Yes,40.7°C,86,Respiratory Syncytial Virus
Pig,Berkshire,3,Male,232.1,Coughing,Appetite Loss,Nasal Discharge,Lethargy,5 days,Yes,No,Yes,No,Yes,No,Yes,No,Yes,39.5°C,67,Porcine Respiratory Disease Complex
Cow,Limousin,6,Male,614.7,Coughing,Nasal Discharge,Labored Breathing,Lethargy,4 days,No,No,No,Yes,Yes,No,Yes,No,No,39.7°C,67,Bovine Pneumonia
Goat,LaMancha,4,Male,47.8,Diarrhea,Appetite Loss,Lethargy,Dehydration,7 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2°C,83,Gastrointestinal Infection
Horse,Shire,24,Male,604.6,Lameness,Swollen Joints,Appetite Loss,Reduced Mobility,6 days,No,Yes,No,No,Yes,Yes,No,Yes,Yes,38.4°C,35,Equine Lyme Disease
Horse,Andalusian,13,Female,645.0,Lameness,Swollen Joints,Lethargy,Weight Loss,6 days,No,No,No,Yes,No,Yes,Yes,No,No,38.5°C,45,Degenerative Joint Disease
Rabbit,Himalayan,3,Female,2.2,Diarrhea,Appetite Loss,Dehydration,Weight Loss,3 days,No,Yes,No,Yes,No,Yes,No,No,Yes,39.1°C,182,Enteritis
Rabbit,Mini Rex,7,Female,2.7,Lethargy,Appetite Loss,Weight Loss,Diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.3°C,153,Gastrointestinal Stasis
Cow,Belted Galloway,10,Male,642.2,Weight Loss,Reduced Milk Production,Lethargy,Appetite Loss,7 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.4°C,82,Tuberculosis
Sheep,Texel,7,Female,41.8,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,41.1°C,109,Scrapie Disease
Rabbit,Holland Lop,6,Male,2.2,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,41.1°C,248,Rabbit Calicivirus
Sheep,Blackface,8,Female,55.0,Swollen Joints,Coughing,Appetite Loss,Lethargy,6 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,39.2°C,84,Scrapie
Cat,Sphynx,8,Male,5.1,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,4 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,39.4°C,216,Feline Rhinotracheitis
Rabbit,Himalayan,8,Female,4.8,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,40.2°C,280,Myxomatosis
Horse,Tennessee Walking Horse,9,Male,471.0,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.5°C,45,Equine Encephalitis
Rabbit,Mini Lop,1,Male,3.8,Sneezing,Nasal Discharge,Appetite Loss,Fever,5 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,41.6°C,272,Pasteurellosis
Sheep,Tunis,8,Male,96.1,Swollen Joints,Coughing,Appetite Loss,Lethargy,5 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.1°C,82,Blue Tongue
Cat,Devon Rex,11,Male,6.0,Appetite Loss,Coughing,Nasal Discharge,Eye Discharge,4 days,Yes,No,No,Yes,Yes,No,No,No,Yes,39.3°C,163,Feline Upper Respiratory Infection
Goat,Nigerian Dwarf,2,Female,35.0,Vomiting,Fever,Diarrhea,Appetite Loss,4 days,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,41.3°C,99,Caprine Pleuropneumonia
Cat,Sphynx,4,Male,2.1,Coughing,Appetite Loss,Fever,Lethargy,5 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,40.9°C,217,Feline Chlamydia
Horse,Percheron,23,Male,462.5,Lameness,Swollen Legs,Appetite Loss,Fever,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,38.9°C,59,Equine Laminitis
Sheep,Leicester Longwool,1,Male,127.5,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41.5°C,100,Bluetongue
Goat,LaMancha,6,Male,39.7,Vomiting,Diarrhea,Lethargy,Fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,40.6°C,101,Pneumonia
Dog,Beagle,3,Female,23.5,Lethargy,Vomiting,Appetite Loss,Fever,4 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,40.7°C,149,Canine Infectious Hepatitis
Horse,Percheron,2,Female,613.0,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.2°C,45,Equine Protozoal Myeloencephalitis
Goat,Alpine,10,Male,72.6,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,41.0°C,101,Caprine Arthritis
Sheep,Southdown,7,Female,93.0,Weight Loss,Reduced Wool Production,Lethargy,Appetite Loss,7 days,Yes,Yes,No,No,Yes,No,No,No,Yes,38.8°C,83,Foot-and-Mouth Disease
Cat,Siamese,9,Male,6.3,Skin Lesions,Appetite Loss,Lethargy,Vomiting,10 days,Yes,Yes,No,No,No,No,Yes,No,No,39.2°C,192,Ringworm
Rabbit,English Angora,6,Female,3.6,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,41.1°C,270,Rabbit Calicivirus
Dog,Husky,10,Female,24.7,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,41.2°C,149,Canine Influenza
Rabbit,Mini Rex,7,Male,4.7,Sneezing,Nasal Discharge,Appetite Loss,Lethargy,5 days,No,Yes,No,Yes,Yes,No,No,Yes,No,38.8°C,235,Snuffles
Cow,Charolais,6,Male,563.3,Coughing,Lethargy,Appetite Loss,Swollen Legs,6 days,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,38.9°C,60,Bovine Tuberculosis
Cat,Scottish Fold,5,Male,3.1,Coughing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,40.5°C,265,Feline Respiratory Disease Complex
Cow,Red Poll,10,Male,571.2,Coughing,Appetite Loss,Lethargy,Fever,7 days,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,41.3°C,98,Bovine Respiratory Syncytial Virus
Horse,Standardbred,15,Male,582.5,Lameness,Swollen Legs,Appetite Loss,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,40.5°C,44,Equine Metabolic Syndrome
Cow,Dexter,10,Female,535.9,Diarrhea,Lethargy,Appetite Loss,Dehydration,4 days,Yes,No,No,Yes,Yes,No,Yes,No,No,39.3°C,71,Cryptosporidiosis
Sheep,Texel,6,Male,133.4,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,41.3°C,106,Bluetongue
Rabbit,Holland Lop,8,Male,1.0,Sneezing,Nasal Discharge,Appetite Loss,Fever,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,40.7°C,229,Rabbit Syphilis
Pig,Chester White,5,Female,121.6,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,40.6°C,94,Porcine Circovirus Disease
Sheep,Lincoln,3,Male,80.3,Coughing,Labored Breathing,Nasal Discharge,Appetite Loss,4 days,No,No,Yes,Yes,No,Yes,Yes,No,Yes,38.9°C,70,Pasteurellosis
Dog,Chihuahua,7,Male,41.6,Coughing,Labored Breathing,Lethargy,Appetite Loss,2 weeks,Yes,No,No,Yes,Yes,No,No,No,No,39.1°C,121,Chronic Bronchitis
Rabbit,English Spot,1,Female,1.3,Diarrhea,Appetite Loss,Dehydration,Weight Loss,3 days,No,Yes,No,Yes,No,Yes,No,No,Yes,40.4°C,152,Enteritis
Cow,Jersey,12,Male,409.1,Nasal Discharge,Coughing,Labored Breathing,Fever,3 days,Yes,No,Yes,No,No,Yes,No,No,Yes,40.1°C,102,Bovine Influenza
Dog,Rottweiler,8,Male,5.3,Lameness,Fever,Skin Lesions,Lethargy,7 days,Yes,No,No,No,No,Yes,Yes,No,No,41.2°C,168,Lyme Disease
Pig,Landrace,6,Male,204.6,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,40.1°C,100,Porcine Circovirus Disease
Dog,Dachshund,4,Male,16.1,Lethargy,Vomiting,Appetite Loss,Fever,2 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,41.3°C,160,Canine Parvovirus
Horse,Tennessee Walking Horse,10,Male,379.9,Lameness,Swollen Legs,Appetite Loss,Fever,8 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.3°C,48,Equine Infectious Anemia
Cow,Aberdeen Angus,1,Male,498.8,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,41.3°C,102,Bovine Mastitis
Rabbit,Himalayan,3,Female,4.8,Sneezing,Appetite Loss,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,40.6°C,268,Viral Hemorrhagic Disease
Cow,Hereford,12,Female,422.7,Diarrhea,Lethargy,Appetite Loss,Decreased Milk Yield,5 days,Yes,No,Yes,No,No,No,No,No,No,39.0°C,51,Salmonellosis
Cow,Limousin,2,Female,740.8,Diarrhea,Dehydration,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,50,Coccidiosis
Dog,Yorkshire Terrier,10,Male,49.9,Lameness,Fever,Skin Lesions,Lethargy,8 days,Yes,No,No,No,No,Yes,Yes,No,No,41.0°C,155,Tick-Borne Disease
Pig,Hampshire,5,Male,139.4,Vomiting,Diarrhea,Appetite Loss,Fever,4 days,No,Yes,No,Yes,Yes,No,No,Yes,Yes,40.1°C,102,Porcine Epidemic Diarrhea
Cow,Limousin,10,Female,407.7,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,39.8°C,92,Bovine Tuberculosis
Goat,Nigerian Dwarf,1,Male,33.0,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,40.0°C,100,Foot-and-Mouth Disease
Rabbit,Mini Lop,6,Male,1.1,Sneezing,Nasal Discharge,Appetite Loss,Lethargy,5 days,No,Yes,No,Yes,Yes,No,No,Yes,No,39.1°C,163,Snuffles
Goat,Kiko,12,Male,97.5,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,40.2°C,112,Caprine Arthritis
Cat,Bengal,2,Male,4.5,Coughing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,41.3°C,199,Feline Respiratory Disease Complex
Cow,Guernsey,4,Male,521.5,Appetite Loss,Diarrhea,Lethargy,Decreased Milk Yield,5 days,Yes,No,Yes,No,No,No,No,No,No,38.1°C,70,Johne's Disease
Sheep,Lincoln,10,Female,109.4,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41.0°C,96,Bluetongue
Cow,Aberdeen Angus,12,Male,731.4,Appetite Loss,Weight Loss,Lethargy,Reduced Milk Production,7 days,No,Yes,No,No,Yes,Yes,Yes,No,No,39.3°C,49,Johne's Disease
Horse,American Quarter,2,Male,509.8,Lameness,Swollen Joints,Appetite Loss,Weight Loss,9 days,No,No,Yes,Yes,Yes,No,No,Yes,No,38.0°C,31,Equine Arthritis
Sheep,Suffolk,1,Male,79.7,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,40.3°C,92,Maedi-Visna
Sheep,Corriedale,5,Male,136.5,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,40.8°C,96,Blue Tongue Disease
Pig,Chester White,3,Male,149.3,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,41.8°C,100,Swine Erysipelas
Dog,Border Collie,2,Female,34.9,Coughing,Labored Breathing,Nasal Discharge,Fever,6 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.9°C,174,Kennel Cough
Cat,Bengal,17,Female,6.9,Vomiting,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.5°C,255,Feline Panleukopenia
Dog,Labrador Retriever,12,Female,19.1,Vomiting,Appetite Loss,Diarrhea,Lethargy,3 days,Yes,Yes,No,No,No,Yes,No,No,Yes,38.6°C,84,Gastroenteritis
Dog,Rottweiler,9,Female,24.5,Sneezing,Eye Discharge,Labored Breathing,Lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,38.7°C,93,Allergic Rhinitis
Rabbit,Mini Lop,8,Male,4.7,Sneezing,Nasal Discharge,Appetite Loss,Fever,3 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,42.0°C,238,Rabbit Syphilis
Cat,Bombay,3,Female,5.4,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.7°C,168,Feline Respiratory Infection
Pig,Hampshire,3,Male,127.8,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,40.5°C,92,Actinobacillus Pleuropneumonia
Cat,Bombay,2,Male,5.7,Vomiting,Diarrhea,Lethargy,Appetite Loss,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.1°C,203,Panleukopenia
Horse,Shetland Pony,5,Female,493.2,Lameness,Swollen Joints,Appetite Loss,Weight Loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,38.5°C,48,Laminitis
Horse,Clydesdale,16,Female,511.6,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,40.2°C,50,West Nile Virus
Sheep,Finnsheep,2,Female,130.9,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,40.8°C,85,Maedi-Visna
Dog,Doberman Pinscher,13,Male,9.3,Lethargy,Vomiting,Appetite Loss,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,41.0°C,156,Canine Hepatitis
Goat,Nigerian Dwarf,2,Male,107.6,Diarrhea,Dehydration,Lethargy,Appetite Loss,6 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,38.8°C,77,Coccidiosis
Cat,British Shorthair,3,Male,6.1,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,40.7°C,212,Feline Chlamydiosis
Horse,Clydesdale,15,Male,737.7,Weight Loss,Appetite Loss,Lethargy,Fever,8 days,No,No,Yes,Yes,No,Yes,Yes,No,No,40.4°C,54,Equine Cushing's Disease
Dog,Siberian Husky,1,Female,4.8,Coughing,Labored Breathing,Appetite Loss,Lethargy,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.3°C,76,Canine Flu
Cow,Charolais,3,Female,380.6,Decreased Milk Yield,Fever,Appetite Loss,Lethargy,5 days,Yes,No,No,No,No,No,No,No,No,40.2°C,83,Mastitis
Dog,Akita,6,Female,16.4,Sneezing,Eye Discharge,Labored Breathing,Lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,38.8°C,94,Allergic Rhinitis
Dog,Rottweiler,7,Male,44.0,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,40.9°C,141,Canine Influenza
Cat,Burmese,7,Female,4.3,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.7°C,219,Feline Viral Rhinotracheitis
Sheep,Lincoln,2,Female,63.3,Swollen Joints,Coughing,Appetite Loss,Lethargy,7 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,38.9°C,77,Scrapie
Rabbit,Mini Lop,7,Female,4.4,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,41.6°C,248,Rabbit Viral Hemorrhagic Disease
Sheep,Finnsheep,1,Male,75.8,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,41.3°C,112,Foot-and-Mouth Disease
Sheep,Leicester Longwool,1,Male,135.7,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,40.9°C,94,Bluetongue
Horse,Mustang,7,Female,317.1,Lameness,Appetite Loss,Swollen Legs,Fever,7 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,38.8°C,52,West Nile Virus
Cat,Manx,10,Female,8.1,Lethargy,Appetite Loss,Weight Loss,Dehydration,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,38.2°C,172,Feline Renal Disease
Dog,Chihuahua,8,Female,9.7,Coughing,Labored Breathing,Lethargy,Appetite Loss,2 weeks,Yes,No,No,Yes,Yes,No,No,No,No,39.4°C,117,Chronic Bronchitis
Rabbit,English Lop,4,Female,4.0,Sneezing,Nasal Discharge,Appetite Loss,Fever,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,41.1°C,252,Rabbit Syphilis
Dog,Akita,8,Female,44.4,Lethargy,Vomiting,Appetite Loss,Fever,4 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.7°C,167,Distemper
Horse,Shetland Pony,16,Female,449.0,Appetite Loss,Lethargy,Labored Breathing,Coughing,10 days,No,No,Yes,Yes,No,No,Yes,Yes,No,37.8°C,37,Equine Pneumonia
Horse,Percheron,2,Female,712.4,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40.4°C,47,Equine Leptospirosis
Dog,Dalmatian,4,Female,15.6,Sneezing,Eye Discharge,Labored Breathing,Lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,38.2°C,136,Allergic Rhinitis
Cat,British Shorthair,17,Male,7.7,Lethargy,Vomiting,Appetite Loss,Weight Loss,5 days,Yes,No,No,Yes,Yes,No,Yes,No,No,38.3°C,207,Hyperthyroidism
Pig,Yorkshire,2,Male,67.4,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,41.7°C,106,Swine Fever
Cat,Burmese,14,Female,9.0,Lethargy,Vomiting,Appetite Loss,Weight Loss,5 days,Yes,No,No,Yes,Yes,No,Yes,No,No,38.4°C,140,Hyperthyroidism
Horse,Shire,2,Female,483.2,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,39.0°C,54,Equine Encephalomyelitis
Rabbit,English Spot,6,Male,1.9,Sneezing,Nasal Discharge,Lethargy,Appetite Loss,3 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.7°C,205,Upper Respiratory Infection
Horse,Tennessee Walking Horse,11,Female,508.3,Swollen Joints,Lameness,Weight Loss,Lethargy,8 days,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,37.3°C,33,Equine Metabolic Syndrome
